#g,r,i,z
#row1 = min, row2 = max, row3 = avg
1.0,2.5848479999999996,2.6853279999999997,2.745616
1.0,2.607456,2.7933440000000003,2.780784
1.0,2.489392,2.522048,2.544656
1.0,2.61248,2.594896,2.841072
1.0,2.67528,2.831024,2.705424
1.0,2.710448,2.7832960000000004,2.6200159999999997
1.0,2.542144,2.61248,2.61248
1.0,2.534608,2.6677440000000003,2.622528
1.0,2.439152,2.622528,2.677792
1.0,2.592384,2.9189439999999998,2.434128
1.0,2.481856,2.795856,3.2404800000000002
1.0,2.4215679999999997,2.5898719999999997,2.9139199999999996
1.0,2.5195359999999996,2.529584,2.49944
1.0,2.441664,2.7280320000000002,2.3989599999999998
1.0,2.680304,2.805904,2.630064
1.0,2.469296,2.660208,3.069664
1.0,2.544656,2.680304,2.6350879999999997
1.0,2.627552,2.6024320000000003,2.3637919999999997
1.0,2.5898719999999997,2.6853279999999997,2.456736
1.0,2.4215679999999997,2.7129600000000003,2.49944
1.0,2.522048,2.268336,2.7129600000000003
1.0,2.6376,2.8134400000000004,2.378864
1.0,2.582336,2.61248,2.770736
1.0,2.5245599999999997,2.642624,2.8486079999999996
1.0,2.582336,2.489392,2.534608
1.0,2.6200159999999997,2.5747999999999998,2.707936
1.0,2.489392,2.444176,2.6551839999999998
1.0,2.547168,2.381376,2.3537440000000003
1.0,2.7280320000000002,2.8837759999999997,2.858656
1.0,2.831024,2.753152,2.630064
1.0,2.326112,2.564752,2.592384
1.0,2.381376,2.388912,2.42408
1.0,2.5245599999999997,2.484368,2.820976
1.0,2.652672,2.640112,2.758176
1.0,2.4492,2.7003999999999997,2.9490879999999997
1.0,2.5547039999999996,2.843584,2.7280320000000002
1.0,2.564752,2.818464,2.368816
1.0,2.5697759999999996,2.645136,2.48688
1.0,2.702912,2.858656,2.512
1.0,2.680304,2.858656,2.582336
1.0,2.6677440000000003,2.6677440000000003,2.6024320000000003
1.0,2.5195359999999996,2.780784,2.677792
1.0,2.506976,2.5898719999999997,2.343696
1.0,2.4793439999999998,2.592384,2.155296
1.0,2.542144,2.6476480000000002,2.826
1.0,2.710448,2.6978880000000003,2.614992
1.0,2.67528,2.745616,2.6024320000000003
1.0,2.559728,2.547168,2.597408
1.0,2.56224,2.705424,2.80088
1.0,2.6978880000000003,2.768224,2.517024
1.0,2.6551839999999998,2.790832,2.7330560000000004
1.0,2.7003999999999997,2.941552,2.642624
1.0,2.609968,2.831024,2.6376
1.0,2.3386720000000003,2.431616,2.542144
1.0,2.6677440000000003,2.65016,2.567264
1.0,2.534608,2.466784,2.466784
1.0,2.6551839999999998,2.805904,2.702912
1.0,2.564752,2.720496,2.660208
1.0,2.758176,2.773248,2.665232
1.0,2.5396319999999997,2.8536319999999997,2.4064959999999997
1.0,2.517024,2.4215679999999997,2.426592
1.0,2.579824,2.672768,2.6551839999999998
1.0,2.7481280000000003,2.805904,2.577312
1.0,2.522048,2.645136,2.640112
1.0,2.768224,2.753152,2.33616
1.0,2.544656,2.471808,2.446688
1.0,2.534608,2.607456,2.3989599999999998
1.0,2.6476480000000002,2.622528,2.451712
1.0,2.7280320000000002,2.831024,2.6551839999999998
1.0,2.692864,2.936528,2.6476480000000002
1.0,2.46176,2.665232,2.6325760000000002
1.0,2.522048,2.609968,2.6024320000000003
1.0,2.652672,2.971696,2.7003999999999997
1.0,2.7632000000000003,2.7506399999999998,2.381376
1.0,2.577312,2.911408,2.652672
1.0,2.7330560000000004,2.7782720000000003,2.597408
1.0,2.780784,2.8837759999999997,2.582336
1.0,2.504464,2.723008,2.755664
1.0,2.622528,2.351232,2.790832
1.0,2.58736,2.702912,2.6853279999999997
1.0,2.494416,2.7003999999999997,2.773248
