name,semimajor_axis,eccentricity,inclination,long_ascend_node,abs_mag,size,semiminor_axis,anomaly,x0_pos,y0_pos
2017 RQ16,2.1869936,0.4752091,38.81682,352.8668,20.2,0.3129531674054072,1.924276390080924,234.45478,-1.1639674334926426,-1.629100957952678
2017 FD157,1.1297648,0.3968265,8.28839,172.87076,22.3,0.11898147579246932,1.0370039212589865,320.79225,0.8444424631670687,-0.6889006874057299
2011 SM102,2.472767,0.5545694,1.67927,109.55011,24.6,0.04125526217847486,2.05768209252306,344.39003,2.3441656146665464,-0.6549425263484616
2018 GQ4,1.3729501,0.1713108,28.27993,24.84501,24.1,0.05193729792671286,1.3526538293372823,254.62341,-0.3590432672956077,-1.305581689127496
2017 RO2,1.116833,0.1559915,18.77318,355.04248,22.2,0.1245888999915215,1.1031611744093797,242.37954,-0.512781985024941,-0.9800089558919356
2014 HU46,1.5042823,0.4188359,1.89394,200.49293,27.8,0.009451034563112188,1.3659815052977968,286.33388,0.38685384664745764,-1.3200389150910725
2017 EV,1.368579,0.3264246,7.06141,345.19806,26.8,0.014978880340791204,1.293612681700579,98.4887,-0.19117786461999775,1.280929037097426
2006 WT29,1.7166876,0.3124239,31.59315,259.5775,19.7,0.39398469514814133,1.6307550105033353,202.27305,-1.5764017222860254,-0.6456634221629134
2014 MD18,2.0327523,0.4891341,3.21091,67.2676,24.6,0.04125526217847486,1.7729840264302286,252.25145,-0.5465871201927087,-1.7076865206290293
2017 UL1,2.8630937,0.681988,9.69834,197.68589,24.8,0.03762524628723898,2.093961835288404,121.38836,-1.1666925957188539,1.9122227539068637
2013 UD1,1.3142521,0.3266701,5.76949,213.04784,24.7,0.039398469514814086,1.242150162179231,271.14964,0.02492260993905021,-1.24192679835552
2006 KK103,2.1309955,0.4628035,8.12666,70.15936,22.5,0.1085123956052948,1.8890441806032139,43.27499,1.4607855442201263,1.3753712666526825
2012 FC1,2.8573184,0.6162074,8.3161,177.75283,24.6,0.04125526217847486,2.250378042744728,165.12875,-2.7075655080999317,0.7189728770557654
2005 FN,0.933524,0.3302119,3.75136,177.31625,26.9,0.014304719672357854,0.8811596782722128,149.43092,-0.7913521805683281,0.4674281366948774
2013 NJ10,1.6135285,0.457289,7.0396,90.75196,18.4,0.7169342880402657,1.4349401792855643,101.35285,-0.2836202642161,1.4125983247305132
2017 QK33,2.1755998,0.4878745,6.55537,157.71988,24.5,0.04319956278440562,1.899111051336172,193.16496,-2.1014642881152024,-0.4915383134705673
2019 AW11,2.1802,0.5096732,2.17421,83.62149,22.5,0.1085123956052948,1.8757744830985514,17.10177,2.0528834836278453,0.6316188442739702
2010 EF44,2.1871022,0.8880514,38.02172,173.72236,20.2,0.3129531674054072,1.0055075073110342,309.69617,0.779816196195659,-0.9394209149292513
1979 XB,2.2199764,0.707309,24.57497,84.74573,18.6,0.6538518417986329,1.5693113171011785,313.92493,1.2493964924566303,-1.2971849094976031
