name,semimajor_axis,eccentricity,inclination,long_ascend_node,abs_mag,size,semiminor_axis,anomaly,x0_pos,y0_pos,gmag,rmag,imag,zmag
1977 VA,1.865196,0.3947991,2.98558,224.49232,19.1,0.5193729792671287,1.713681416784102,102.5362,-0.3733388401516277,1.6790018023133249,1.0,2.582336,2.780784,2.753152
1990 SB,2.3965002,0.5447868,18.09714,189.95644,13.8,5.963199670531792,2.0096441720098963,293.00087,0.8036790069608463,-1.8932691603030978,1.0,3.021936,3.2429919999999997,2.823488
1990 SP,1.354903,0.3875379,13.50654,45.75896,17.1,1.3046059395138065,1.2490224405922499,354.35472,1.3471802594973803,-0.13316715492155562,1.0,2.7832960000000004,3.0420320000000003,3.217872
1990 TG1,2.4375641,0.681063,8.73882,205.04582,14.7,3.939846951481413,1.7848449393660342,241.99379,-0.8845587427154307,-1.6631781384390318,1.0,2.9917920000000002,3.150048,2.8084160000000002
1990 TR,2.1437466,0.4356605,7.905,14.12206,15.4,2.854166808844959,1.9296100345067744,46.85565,1.382312427331287,1.4748813070996365,1.0,3.0922720000000004,3.5268479999999998,2.9465760000000003
1992 BL2,1.7064338,0.2386083,38.45851,297.84968,14.3,4.736737867601934,1.6571449848800788,224.18923,-1.2060247460900768,-1.1723668176336521,1.0,3.0143999999999997,3.333424,3.464048
1992 HE,2.2406775,0.5725541,37.34289,26.95295,13.9,5.694811474323331,1.8370574099178438,2.37129,2.2378248215713734,0.09266936484469276,1.0,2.9792319999999997,3.431392,3.546944
1992 SK,1.2484412,0.3248243,15.32074,8.91821,17.0,1.366090123221672,1.1807436994314013,111.41919,-0.43426024770383387,1.107010008827241,1.0,2.9968160000000004,3.3585439999999998,2.9641599999999997
1993 DQ1,2.0366301,0.4923343,10.0239,313.55392,16.5,1.7198055709247886,1.7726954474804555,247.72358,-0.6840031444057524,-1.669729001811705,1.0,2.921456,3.3560320000000003,2.836048
1993 EA,1.2709625,0.5851097,5.05467,97.036,16.6,1.6424015696315357,1.0306923182292012,267.15793,-0.05112648186472917,-1.0298580586808341,1.0,2.773248,2.87624,2.8084160000000002
1993 QA,1.4757578,0.3150944,12.60694,146.62748,18.3,0.750722360083508,1.4005831917501192,355.30738,1.4702687166848178,-0.12068743574782877,1.0,2.9968160000000004,3.1073440000000003,3.544432
1993 UB,2.2764917,0.4613547,24.97864,31.30061,16.7,1.5684813222680876,2.0197393599293507,142.93297,-1.7333366115153512,1.3093449360537543,1.0,2.871216,3.145024,2.8385599999999998
1994 CC,1.6376688,0.41702,4.68135,268.54773,17.7,0.9896448099650541,1.4884727665177377,243.19107,-0.6835247714499189,-1.3526251736826047,1.0,3.00184,3.0947839999999998,2.567264
1994 CN2,1.5730584,0.3947869,1.4392,99.33781,16.7,1.5684813222680876,1.4452831385281613,60.97083,0.714565448691773,1.2875638191748582,1.0,3.021936,3.207824,3.024448
1995 QN3,3.2994821,0.6453981,14.79518,185.74558,16.8,1.4978880340791203,2.520297458558674,2.53581,3.2939503057219595,0.1458796841668414,1.0,2.858656,3.3736159999999997,3.310816
1996 DH,1.5868942,0.2765749,17.23161,309.29244,16.6,1.6424015696315357,1.5249932095210952,76.00605,0.3696005567898563,1.4830539785356212,1.0,3.200288,3.677568,3.474096
1996 TO5,2.3770729,0.5206798,20.95138,167.38384,16.1,2.067661072379766,2.0294308376981003,29.01119,1.9934409980590646,1.1054913905943022,1.0,2.986768,3.1827039999999998,2.451712
1996 XB27,1.188883,0.0578933,2.46453,179.41234,21.7,0.15684813222680874,1.186888977336716,291.66032,0.4381845734990733,-1.1033327952196443,1.0,2.8963360000000002,3.044544,3.35352
1997 UF9,1.4424762,0.6039742,25.90924,37.17816,16.1,2.067661072379766,1.1496591110132293,37.72567,1.035066354964859,0.8007311989597368,1.0,2.9993279999999998,3.205312,2.974208
1998 BP26,1.7230891,0.2569957,20.22016,331.04314,17.2,1.2458889999152165,1.6652149251101314,133.57174,-1.1662121646405177,1.2258535491810425,1.0,3.1374880000000003,3.549456,3.3736159999999997
1998 BX7,2.6038109,0.5025627,8.95818,144.92234,16.3,1.8857293101246126,2.2511006647237486,48.33111,1.5878376830947998,1.7840993616163536,1.0,2.911408,3.2028,2.652672
1998 CS1,1.4915296,0.5782688,7.78974,110.78316,17.6,1.0362853329448145,1.2168589143881519,202.52143,-1.3296492830225306,-0.5513415041206771,1.0,3.1475359999999997,3.330912,3.0947839999999998
1998 HL49,1.7472531,0.6365029,10.99762,206.17656,17.3,1.1898147579246918,1.347611425728758,114.86704,-0.588148673623931,1.2689688162030934,1.0,2.981744,3.2404800000000002,2.2959680000000002
1998 JH2,2.134504,0.4412983,6.62543,51.11354,16.2,1.9746009945278102,1.9154195094439095,171.76284,-2.107259512149366,0.30505593847285384,1.0,3.283184,3.3912000000000004,3.7353440000000004
1998 RO1,0.990949,0.7200289,22.6778,351.87109,18.1,0.8231506991887187,0.6876631899883158,228.461,-0.5189911888966868,-0.5858088591655474,1.0,2.760688,2.9616480000000003,2.760688
1998 SG36,1.6459654,0.337634,24.83795,186.59755,15.9,2.2671452828784515,1.5493101531152418,48.54308,1.0523597101018447,1.19127994432104,1.0,3.009376,3.474096,3.1827039999999998
1998 WC2,2.552544,0.5615299,26.60679,208.45961,18.5,0.6846669297430096,2.1121189886256593,349.35409,2.4891240525681444,-0.4678915551628391,1.0,2.956624,3.288208,2.56224
1998 WT,1.2189785,0.569922,3.20411,307.41073,17.7,0.9896448099650541,1.0016331677047932,140.65273,-0.8629081233945417,0.7074717630517325,1.0,2.720496,2.944064,2.318576
1998 WT7,1.1520225,0.1100333,40.69976,248.27401,19.0,0.5438502736768585,1.145027305622345,145.84246,-0.9514587783266379,0.6455804906196051,1.0,4.9059360000000005,5.322928000000001,3.0470560000000004
1999 FN19,1.6474177,0.3914292,2.2563,190.09374,22.5,0.1085123956052948,1.515967321157709,165.05784,-1.582224687198133,0.4222443585568703,1.0,2.893824,3.1274400000000004,2.78832
1999 FQ5,1.4947635,0.1611224,25.84384,172.82777,17.7,0.9896448099650541,1.4752335652039632,153.26577,-1.3313918133976161,0.670617233169441,1.0,3.104832,3.564528,3.368592
1999 GJ2,1.5355701,0.1978781,11.27801,196.21718,16.9,1.4304719672357855,1.5052067131648088,69.26249,0.5342874884248844,1.4111561393016454,1.0,3.318352,4.04432,3.7026879999999998
1999 JD6,0.8831206,0.6329128,17.05841,130.18364,17.1,1.3046059395138065,0.6837323566418548,123.07331,-0.3975883037730619,0.6105206998463235,1.0,2.630064,2.846096,2.916432
1999 JM8,2.7259793,0.6414392,13.83472,133.62266,15.2,3.1295316740540717,2.0913000995898736,150.36305,-2.189585178955526,1.2457259394402422,1.0,2.6049439999999997,2.85112,2.831024
1999 JT3,2.1698652,0.401097,9.33302,64.85319,16.1,2.067661072379766,1.9876737421224793,49.81511,1.3277994528886405,1.5720792332244722,1.0,2.720496,2.85112,2.758176
1999 KX4,1.4570993,0.2925783,16.57086,104.93546,16.9,1.4304719672357855,1.3933389208859648,171.33634,-1.4389457625877462,0.21925570830310082,1.0,3.232944,3.509264,2.42408
1999 NC43,1.7594575,0.5794373,7.1248,311.74457,15.9,2.2671452828784515,1.4339874549407206,93.15309,-0.07891517820977548,1.4325443515055356,1.0,2.9465760000000003,3.150048,2.6376
1999 OW3,2.0921406,0.7800691,34.94779,196.14709,14.7,3.939846951481413,1.3090385124974995,255.32407,-0.3383198722699112,-1.291809389402186,1.0,2.8687039999999997,3.037008,1.986992
